timestamp,first_seen_on,last_updated,source,mint_address,pair_address,name,symbol,age,holders,total_supply,decimals,price,volume_5m,volume_1h,volume_6h,volume_24h,marketcap_5m,marketcap_1h,marketcap_6h,marketcap_24h,price_delta_1m,price_delta_5m,price_delta_15m,price_delta_1h,volume_delta_1m,volume_delta_5m,volume_delta_15m,volume_delta_1h,liquidity,pooled_sol,pooled_token,buy_count,buy_volume,sell_count,sell_volume,is_honeypot,is_blacklisted,is_proxy,can_take_back_ownership,owner_change_balance,is_mintable,is_open_source,is_spl2022,mint_authority_exist,freeze_authority_exist,max_tx_amount,max_wallet_amount,trading_paused,anti_bot,tax_fee,lp_holders,held_by_top_1,held_by_top_5,held_by_top_10,top_holders_json,is_trending,trending_rank,featured_on_aggregator,featured_rank,bubblemap_report,block_number,slot,sentiment_score,mentions,time_since_first_liquidity,time_since_first_trade,security_status,health_summary,notes,mint_authority,freeze_authority,supply,is_initialized,metadata_mutable,token_info_json
,2025-06-14T01:29:11.719230+00:00,2025-06-14T01:23:41.348112+00:00,,F4dqMnX665khxfGJ26PaAKrFoUCmqCmMPoos2ai7pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:12.008859+00:00,2025-06-14T01:23:41.566114+00:00,,BmqpRxCQkM7CAr33tHX3YBVxvYzyySjKa2tFyeFjEhXs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,unknown,
,2025-06-14T01:29:12.313333+00:00,2025-06-14T01:23:41.791046+00:00,,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,DANGER,"Danger - mintable, mutable metadata",,,,,,1,
,2025-06-14T01:29:12.602576+00:00,2025-06-14T01:23:42.015043+00:00,,B9KQdGnkXKvWCajSb5dmQJbvWYgJrqLZtzN7URsc8hU ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,unknown,
,2025-06-14T01:29:12.900073+00:00,2025-06-14T01:23:42.248465+00:00,,BgpZ9cXE2dRMTUPhroffbMQm3q8QTLpRorpHYeJspump ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:13.204638+00:00,2025-06-14T01:23:42.465637+00:00,,E4n5gooEoFaDPb1oSDmN2VXjWKekrTn3EFE7KjNKpump ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:13.504984+00:00,2025-06-14T01:23:42.681635+00:00,,6D7NaB2xsLd7cauWu1wKk6KBsJohJmP2qZH9GEfVi5Ui ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:13.782385+00:00,2025-06-14T01:23:42.916935+00:00,,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:14.084161+00:00,2025-06-14T01:23:43.132116+00:00,,B4T6EmiKTCbLY7Kz3Y9zxPnYkutadJBvkC4qFcxdpump ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:14.366192+00:00,2025-06-14T01:23:43.365319+00:00,,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:14.649478+00:00,2025-06-14T01:23:43.581988+00:00,,4Tt6siivnSEjLQCKATp96BUQh2uwCyEVS3e57erNpump ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
,2025-06-14T01:29:14.966548+00:00,2025-06-14T01:23:43.801759+00:00,,BXUvYruy1474rPiicNDB3VEwJG9gDFjJK3pswY8cbqDf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,unknown,
,2025-06-14T01:29:15.249166+00:00,2025-06-14T01:23:43.801759+00:01,,85vdovHhkXnDi98EYMQmD2vXS82jRP1VDDXfkJ38pump ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,SAFE,Safe,,,,,,0,
